matched_skills,similarity_score
Software design 3,0.24955073192949206
Availability management 3,0.24950167718265756
System software administration 5,0.24804853246878408
User experience evaluation 5,0.2472564957435766
Demand management 5,0.24713197403884224
Release management 2,0.2468548316423575
Enterprise and business architecture 5,0.24616936260990444
Service acceptance 4,0.24562056221524353
Methods and tools 2,0.24491545268131182
Content publishing 6,0.24489419841256516
Data modelling and design 4,0.2443938503415286
Information systems coordination 6,0.2436293916656037
Offensive cyber operations 2,0.24352439592184483
Service level management 6,0.24337256895710896
Competency assessment 5,0.24333602323069436
Change control 5,0.24121570934928668
Delivery management 4,0.2408479294426647
Technology service management 7,0.24071164298611078
Selling 5,0.24023111338565115
Project management 7,0.23997741207637627
Systems and software lifecycle engineering 3,0.23996747705068902
Business administration 1,0.23984330653323185
Machine learning 2,0.239397403408507
Information assurance 2,0.2392491043217695
Knowledge management 5,0.23913377877231315
Information assurance 3,0.2380411376181999
Data analytics 3,0.2377733550778023
Application support 5,0.23644576407076587
Radio frequency engineering 3,0.23622441088303897
Security operations 1,0.23509164029484964
Systems development management 5,0.2347714924897418
Vulnerability research 6,0.23457638449586982
Availability management 6,0.2344040166108698
Data management 3,0.23407229467943672
Continuity management 5,0.23373568316467333
Consultancy 6,0.2332917200141996
Risk management 2,0.2322261590343446
Technology service management 6,0.23139695558833917
Identity and access management 5,0.2297291265544164
Specialist advice 5,0.22950885904748242
Network support 5,0.22900651147034362
Service level management 4,0.22859420344450948
Data engineering 6,0.22857455816586988
Systems development management 7,0.22712699914270573
Storage management 4,0.22694837418226593
Systems development management 4,0.22687451147673493
Animation development 5,0.2260915720320601
Audit 7,0.22532643225969098
Data engineering 3,0.22532292168850196
Systems design 2,0.2249260990487098
Storage management 3,0.2246240777802553
Service catalogue management 5,0.22394087438727917
Selling 4,0.22271184723625678
Business situation analysis 5,0.22246697687811304
Learning and development management 2,0.22181810255413123
Security operations 3,0.2214372177409354
Data visualisation 2,0.22127906018309887
Asset management 2,0.2202845345528846
Programming/software development 4,0.2174222627743149
Delivery management 3,0.21507984799111993
Network support 1,0.21491185003792446
Storage management 6,0.21460338336993418
Software design 2,0.2131837301074037
Penetration testing 6,0.21294870288454543
Digital forensics 5,0.21250026421143428
Facilities management 5,0.21240067262473003
Resourcing 4,0.21163194833431387
Digital marketing 2,0.211627351754294
Customer engagement and loyalty 4,0.2115961296021646
Security operations 2,0.21067589221910113
Financial management 4,0.21054167776502478
Infrastructure operations 3,0.21008410165865196
Data management 4,0.2100836146200362
Market research 3,0.2098683117657268
Information security 5,0.20898352631254616
Project management 4,0.2089686073951338
"Portfolio, programme and project support 4",0.20889870760485488
Knowledge management 2,0.2087848152182457
Business administration 5,0.20867610755420982
Competency assessment 3,0.20851862012011302
Incident management 4,0.20799153694120678
Quality assurance 6,0.20752401058109632
Bid/proposal management 4,0.20730217580929175
Software configuration 3,0.20723682575388266
Service acceptance 3,0.20703909518969307
Continuity management 2,0.20649509288953188
Stakeholder relationship management 5,0.20582615418493277
Application support 4,0.2057392872155855
Innovation management 5,0.20547528836916437
Business process improvement 6,0.2051570735511669
Programme management 7,0.2045921650088124
Information management 7,0.20459105918123752
Safety engineering 6,0.2041012233815653
User acceptance testing 5,0.20353223534291315
Selling 3,0.2020821364446516
Database design 2,0.20205394192261444
Database design 4,0.20158355114245122
Business administration 6,0.20132672636160553
Database administration 3,0.2009444524016706
Systems design 6,0.20061389937878707
Cybercrime investigation 5,0.2001739678650438
User research 4,0.20003657225958735
