matched_skills,similarity_score
Security operations 3,0.23844495657289524
Stakeholder relationship management 4,0.23776452146371627
Systems and software lifecycle engineering 3,0.2363718380533948
Data analytics 3,0.23628781961913636
Feasibility assessment 5,0.23534777110959887
Vulnerability research 6,0.23468698810291766
Release management 2,0.23442285235904375
Security operations 2,0.2341587848105892
Systems design 2,0.233859342365336
Programme management 7,0.2335575669169496
"Portfolio, programme and project support 4",0.2323776132477483
Software design 3,0.23208282000149866
Project management 4,0.2316207090616237
Methods and tools 2,0.23090851242513744
Information management 6,0.23057894387603595
Storage management 3,0.22994918757665395
Resourcing 4,0.22971991148577456
Safety engineering 6,0.22863464092069608
Customer engagement and loyalty 4,0.2275468899849843
Records management 5,0.22708017897864813
Learning and development management 2,0.22700486952710183
Application support 4,0.22659158575880187
Infrastructure operations 3,0.226276074202648
Quality assurance 6,0.2257692004710575
Requirements definition and management 3,0.22561058719046279
Artificial intelligence (AI) and data ethics 4,0.22540429684137006
Resourcing 5,0.22534402854622107
Facilities management 6,0.22508410112629285
Data visualisation 2,0.2246286844005232
Selling 3,0.2245786684846392
Innovation management 5,0.2245188500061533
Financial management 4,0.22411323531019192
Incident management 4,0.22399054795413903
Knowledge management 6,0.22328678644873498
Cybercrime investigation 5,0.22307355926624575
Graphic design 5,0.22300515535879561
Systems design 6,0.22283178612286902
Audit 4,0.2220868153376784
Configuration management 2,0.22163023203635754
Market research 3,0.2213240458841069
Quality management 5,0.22126234859674052
Storage management 6,0.220945071040035
Service acceptance 3,0.22052599019698185
Storage management 4,0.22050442204192544
Network support 1,0.2191479125143371
Data engineering 6,0.21884904118247092
Identity and access management 3,0.2187123866594528
Systems development management 7,0.2186605505624639
Audit 6,0.2177668287396936
Facilities management 5,0.2170691475649979
Data engineering 3,0.21525695038926682
Business process improvement 6,0.21494058968062207
Configuration management 3,0.21449318671020337
Asset management 2,0.21374766031361075
Data management 4,0.21367219449018324
Stakeholder relationship management 5,0.21340598288214885
Learning delivery 5,0.21340306675943221
Product management 4,0.2132535492949302
Programming/software development 5,0.2125138167273615
Digital marketing 2,0.21151379837438605
Database administration 3,0.21076286436014885
Safety engineering 5,0.21048619313019296
Programming/software development 4,0.2093442418432561
Service level management 5,0.2092890597931167
Machine learning 2,0.20858131599513735
Database design 5,0.20738195521157843
Organisational change management 2,0.20692772668972112
Accessibility and inclusion 4,0.20684462215175892
Quality management 2,0.2060582185999948
Risk management 3,0.20528949723967793
Release management 3,0.205239956871062
User research 4,0.2052197113023674
Data analytics 5,0.2050090802956012
Programming/software development 2,0.20466346147335301
Organisational change management 3,0.2044017214019641
Sourcing 5,0.20411948080775322
Quality assurance 4,0.20411152637896712
Business administration 2,0.20393429756278098
Information security 7,0.20133504547757894
Information assurance 4,0.20129778899185208
Business administration 3,0.20070713170067395
System software administration 2,0.20030643271710424
